entidad_id,entidad_nombre,sexo,grupo_edad,total
31,yucatan,Mujeres,Adolescentes (10-19),3
31,yucatan,Hombres,Adultos (36-59),7
31,yucatan,Mujeres,Adultos (36-59),1
31,yucatan,Hombres,Adultos mayores (60+),6
31,yucatan,Mujeres,Adultos mayores (60+),0
31,yucatan,Hombres,Infancias (0-9),3
31,yucatan,Mujeres,Infancias (0-9),0
31,yucatan,Hombres,Jóvenes (20-35),8
31,yucatan,Mujeres,Jóvenes (20-35),1
32,zacatecas,Hombres,Adolescentes (10-19),125
32,zacatecas,Mujeres,Adolescentes (10-19),129
32,zacatecas,Hombres,Adultos (36-59),227
32,zacatecas,Mujeres,Adultos (36-59),43
32,zacatecas,Hombres,Adultos mayores (60+),34
32,zacatecas,Mujeres,Adultos mayores (60+),4
32,zacatecas,Hombres,Infancias (0-9),9
32,zacatecas,Mujeres,Infancias (0-9),14
32,zacatecas,Hombres,Jóvenes (20-35),363
32,zacatecas,Mujeres,Jóvenes (20-35),87
